Name ,Address,Phone
Govt. Special Education Centre, Khiali Shahpur 25-Green Town Kanganiwala Bypass Town Gujaranwala.,055-9230025
Govt. Special Education Center," Qila Dedar Sinagh. Batala Road, Mohalla Barkat Pura.",055-9239033
Govt. Special Education Centre, Kamoki New Model Town Near Railway Station.,055-6817172
Govt. Special Education Center, Naushera Virkan. Near Motti Masjad,055-6761064
Govt.  Special Education Center, Wazirabad  Jinnah Liaqat Abad,055-6609362
Govt. Special Education Centre, Hafizabad Jalal Pur Road Mandhrainwala By Pass.,0547-428030
Govt. Special Education Centre, Pindi Bhattian Mohalla Hassan Pura Mustafa Abad.,0547-531390
Govt. Special Education Center," Narowal, Near AL Rehman Garden Phase II, New Lahore Road.",0542-411276
Govt. Special Education Center, Zafarwal. Sialkot Road Near Nanghal Sodkan Stop,0542-539140
Govt. Special Education Center, Shakargarh. Near Railway Station Zafarwal Road,0542-453474
Govt. Special Education Centre," Daska Athad Town Bypass Near the Educator School, Pasroor Road.",052-6619695
Govt. Special Education Centre," Pasrur  Muhalla Gosia Abad Near Thana Sadar, Narowal Road.",052-6440470
Govt. Special Education Center, Sumbrial. Sambrail Mor Street Ali Hospital Opposite Al-Hafiz Resturent/Photo Studio,052-6523115
Govt. Special Education Center, Kharian Lala Musa Near Local Govt. Academy,053-7516244
Govt. Special Education Centre, Saria Alamgir Near Lala Musa Local Govt. Academy.,0544-653966
Govt. Special Education Centre, Mandi Bahuddin  Shadiwal Road.,0546-503568
Govt. Special Education Centre, Malakwal  Usman Chowk.,0546-582895
Govt. Special Education Center, Phalia. Aziz Abad Colony Ghanian Road,0546-586114
Govt. Special Education Center," Gujar Khan Sijawal Plaza, Barki More No. 01, Near Nadra Office. ",051-3512555
Govt. Special Education Center, Kalar Sayedan Thana Road.,051-3570324
Govt. Special Education Center, Kotli Sattian Near Bathal Village.,051-3356009
Govt. Special Education Center, Murree Hill Dholoo Jheeka Gali.,051-5839410
Govt. Special Education Center, Taxila. 5 Al-Raza Shah Mohra Shah Wali Shah.,051-4908616
Govt. Special Education Center," Kahuta Rajgan Road, Near PWD office.",051-3313468
Govt. Special Education Center, Hassanabdal Near Khawaja Glass Khan Colony.,057-2523340
Govt. Special Education Centre, Pindi Gheib Near Govt. Fatima Jinnah Girls High School.,057-2350052
Govt. Special Education Center," Fateh Jang Jamia Masjid Bilal Road, Opposite Stadium.",057-2012859
Govt. Special Education Center," Hazro Near General Bus Stand, Dhoke Rah Road.",057-2312111
Govt. Special Education Center, Jand Near PTCL Exchange.,057-2622306
Govt. Special Education Center, Tala Gang Rawalpindi by Pass.,0543-410064
Govt. Special Education Center, Kalar Khar Sargodha Road.,0543-588013
Govt. Special Education Center, Choa Saidan Shah Shirazi Muhallah.,0543-579209
Govt. Special Education Centre, Lawa (Newly Established),-
Govt. Special Education Center, Sohawa Sufa Town.,0544-711050
Govt. Special Education Center," Dina Main Islam Market, Near Farabi School.",0544-636539
Gov. Special Education Center, Pind Dadan Khan Mohallah Kot Kalan Near PSO Petrol Pump.,0544-210611
