Name,Ownership,Type,Gender,Province
Vocational Training Center (Female) Patika,Government,Vocational,Female,Azad Jammu Kashmir   /   Muzaffarabad
Vocational Training Center (Female) Hattian Dupatta,Government,Vocational,Female,Azad Jammu Kashmir   /   Muzaffarabad
Vocational Training Center Abbasspur,Government,Vocational,Female,Azad Jammu Kashmir   /   Poonch
Vocational Training Center Abbasspur,Government,Vocational,Female,Azad Jammu Kashmir   /   Poonch
Vocational Training Center (Female) Kohri,Government,Vocational,Female,Azad Jammu Kashmir   /   Muzaffarabad
Government Vocational Training Center Mirpur,Government,Vocational,Male,Azad Jammu Kashmir   /   Mirpur
Pentiom Institution,Private,Vocational,Both,Azad Jammu Kashmir   /   Muzaffarabad
Technical Training Center Sudnati,Private,Vocational,Female,Azad Jammu Kashmir   /   Sudhnutti
Chinar Computer center,Private,Vocational,Both,Azad Jammu Kashmir   /   Muzaffarabad
Modren Age computer,Private,Vocational,Both,Azad Jammu Kashmir   /   Pallandri
Vocational Training Institute Trakhal,Government,Vocational,Male,Azad Jammu Kashmir   /   Pallandri
Vocational Training Institute Kahori,Government,Vocational,Male,Azad Jammu Kashmir   /   Muzaffarabad
Government Vocational Training Institute Muzaffarabad,Government,Vocational,Male,Azad Jammu Kashmir   /   Muzaffarabad
Government Vocational Training Institute Bhimber,Government,Vocational,Male,Azad Jammu Kashmir   /   Bhimber
Government Technical Training Institute New City Mirpur,Government,Vocational,Male,Azad Jammu Kashmir   /   Mirpur
Government Vocational Training Institute Plandri,Government,Vocational,Male,Azad Jammu Kashmir   /   Pallandri
Government Vocational Training Institute Neelum,Government,Vocational,Male,Azad Jammu Kashmir   /   Neelum
Vocational Training Center Hatian Balla,Government,Vocational,Female,Azad Jammu Kashmir   /   Hattian
Vocational Training Center Afzalpur,Government,Vocational,Female,Azad Jammu Kashmir   /   Mirpur
Vocational Training Center Danna,Government,Vocational,Female,Azad Jammu Kashmir   /   Muzaffarabad
Vocational Training Institute Bagh,Government,Vocational,Male,Azad Jammu Kashmir   /   Bagh
Government Vocational Training Institute Industrial State Kotli,Government,Vocational,Male,Azad Jammu Kashmir   /   Kotli
technical Training institute Mirpur,Private,Vocational,Both,Azad Jammu Kashmir   /   Mirpur
Talaam ITC,Private,Vocational,Both,Azad Jammu Kashmir   /   Kotli
IT House,Private,Vocational,Both,Azad Jammu Kashmir   /   Bhimber
Comptech Computer Institute,Private,Vocational,Both,Azad Jammu Kashmir   /   Mirpur
DASTKARI SCHOOL BAIT UL MALL,Government,Vocational,Female,Azad Jammu Kashmir   /   Mirpur
ABDUL RAZZAQ INSTITUTE,Private,Vocational,Female,Azad Jammu Kashmir   /   Muzaffarabad
AL LATIF HANDICRAFT CENTER,Private,Vocational,Female,Azad Jammu Kashmir   /   Muzaffarabad
AL RAZI COLLEGE OF INFORMATION AND Technology,Private,Vocational,Female,Azad Jammu Kashmir   /   Mirpur
BRIGHT FUTURE WOMEN INSTITUTE,Private,Vocational,Female,Azad Jammu Kashmir   /   Hattian
CARRIER PLANING INDUSTRIAL INSTITUTE FOR WOMEN,Private,Vocational,Female,Azad Jammu Kashmir   /   Kotli
DAR UL FALAH SCHOOL,Private,Vocational,Female,Azad Jammu Kashmir   /   Bagh
DARAL FALAH RAWALKOT,Private,Vocational,Female,Azad Jammu Kashmir   /   Kotli
DASSTKARI SCHOOL BARSALI,Private,Vocational,Female,Azad Jammu Kashmir   /   Bhimber
DEPARTMENT OF COMPUTER SCIENCE,Private,Vocational,Female,Azad Jammu Kashmir   /   Muzaffarabad
EXTENTION  SERVICES MANAGEMENT ACADEMY,Private,Vocational,Female,Azad Jammu Kashmir   /   Neelum
FATIMA SALAI CENTER,Private,Vocational,Female,Azad Jammu Kashmir   /   Muzaffarabad
FAUJI FOUNDATION VOCATIONAL INSTITUTE,Government,Vocational,Female,Azad Jammu Kashmir   /   Neelum
FOUJI FOUNDATION VOCATIONAL TAANING CENTRE,Government,Vocational,Both,Azad Jammu Kashmir   /   Kotli
FREE VOCATIONAL TRAINING INSTITUTE,Private,Vocational,Both,Azad Jammu Kashmir   /   Muzaffarabad
FRIED INSTITUTE OF PROFESSIONAL SKILL,Private,Vocational,Both,Azad Jammu Kashmir   /   Kotli
GLOBAL COLLEGE OF COMPUTER SCIENCES,Private,Vocational,Both,Azad Jammu Kashmir   /   Kotli
HAILIANCE COMMERCE ACADEMY,Private,Vocational,Both,Azad Jammu Kashmir   /   Muzaffarabad
HELP LINE DASTKARI SCHOOL,Private,Vocational,Both,Azad Jammu Kashmir   /   Poonch
INCHARGE NATIONAL POLICE FOUNDATION DASTKAREE,Government,Vocational,Both,Azad Jammu Kashmir   /   Poonch
INDUSTRIAL HOME CENTRE,Government,Vocational,Female,Azad Jammu Kashmir   /   Bagh
INDUSTRIAL SCHOOL,Government,Vocational,Female,Azad Jammu Kashmir   /   Mirpur
INDUSTRIAL SCHOOL,Government,Vocational,Female,Azad Jammu Kashmir   /   Bhimber
INFORMATION Technology,Government,Vocational,Both,Azad Jammu Kashmir   /   Kotli
JINNAH COMPUTER COLLEGE,Private,Vocational,Both,Azad Jammu Kashmir   /   Kotli
KALRI EDUCATION SYSTEM,Private,Vocational,Both,Azad Jammu Kashmir   /   Kotli
KASHMIR LANGUAGE INSTITUTE,Private,Vocational,Both,Azad Jammu Kashmir   /   Kotli
KASHMIR VOCATIONAL SCHOOL,Private,Vocational,Both,Azad Jammu Kashmir   /   Poonch
KASHMIR VOCATIONAL TRAINING CENTER,Private,Vocational,Both,Azad Jammu Kashmir   /   Poonch
KASHMIR WOMEN SOCIETY,Private,Vocational,Both,Azad Jammu Kashmir   /   Kotli
KHADIM HUSSAIN CARPET CENTER,Private,Vocational,Both,Azad Jammu Kashmir   /   Bhimber
LAGIX COMPUTER COLLEGE,Private,Vocational,Both,Azad Jammu Kashmir   /   Bagh
MAHAK BEAUTY PARLAR,Private,Vocational,Both,Azad Jammu Kashmir   /   Muzaffarabad
MEHK SILAI SCHOOL,Private,Vocational,Both,Azad Jammu Kashmir   /   Mirpur
MUSLIM HAHDS TECHNICAL INSTITUTE,Private,Vocational,Both,Azad Jammu Kashmir   /   Mirpur
NOREEN DUSTKARI CENTER SCHOOL,Private,Vocational,Both,Azad Jammu Kashmir   /   Mirpur
POLICE TRAINING CENTER COLLEGE,Government,Vocational,Male,Azad Jammu Kashmir   /   Mirpur
PUBLIC INDUSTRIAL SCHOOL FOR WOMEN,Government,Vocational,Female,Azad Jammu Kashmir   /   Mirpur
PUNJAB VOCATIONAL CENTRE,Private,Vocational,Female,Azad Jammu Kashmir   /   Mirpur
SANWALA COMPUTERS,Private,Vocational,Both,Azad Jammu Kashmir   /   Neelum
TARARI KHOWATEE VOCATION  AL CENTRE,Private,Vocational,Both,Azad Jammu Kashmir   /   Neelum
URAT FOUNDATION DASTKARI SCHOOL,Private,Vocational,Both,Azad Jammu Kashmir   /   Neelum
VOCATIONAL ART TAILORING CENTRE,Private,Vocational,Female,Azad Jammu Kashmir   /   Neelum
VOCATIONAL CENTRE,Private,Vocational,Both,Azad Jammu Kashmir   /   Hattian
WEB COMPUTER COLLEGE MADINA MKT,Private,Vocational,Both,Azad Jammu Kashmir   /   Kotli
WOMAN VOCATIONAL CENTER,Private,Vocational,Both,Azad Jammu Kashmir   /   Kotli
WOMEN INDUSTRIAL SCHOOL,Government,Vocational,Both,Azad Jammu Kashmir   /   Kotli
WOMEN VOCATIONAL SCHOOL,Private,Vocational,Both,Azad Jammu Kashmir   /   Kotli
ZANANA DASTAKARI SCHOOL,Private,Vocational,Both,Azad Jammu Kashmir   /   Hattian
ZANANA DASTKARI SCHOOL,Private,Vocational,Female,Azad Jammu Kashmir   /   Bagh
ZIA UL UMMAT COMPUTERS COLLEGE,Private,Vocational,Female,Azad Jammu Kashmir   /   Bagh
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Azad Jammu Kashmir   /   Bagh
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Azad Jammu Kashmir   /   Bagh
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Azad Jammu Kashmir   /   Mirpur
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Azad Jammu Kashmir   /   Kotli
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Azad Jammu Kashmir   /   Mirpur
Bait ul Mal VOCATIONAL DASTKARI SCHOOL,Government,Vocational,Female,Azad Jammu Kashmir   /   Muzaffarabad
FAUJI FOUNDATION VOCATIONAL TRAINING CENTRE,Government,Vocational,Both,Azad Jammu Kashmir   /   Kotli
FINE BEAUTY PARLOUR,Private,Vocational,Both,Azad Jammu Kashmir   /   Muzaffarabad
Fauji Foundation Technical Center,Government,Vocational,Male,Azad Jammu Kashmir   /   Kotli
Fahji Foundation Vocational Training Center,Government,Vocational,Female,Azad Jammu Kashmir   /   Bhimber
Fahji Foundation Vocational Training Center,Government,Vocational,Female,Azad Jammu Kashmir   /   Muzaffarabad
Fahji Foundation Vocational Training Center,Government,Vocational,Female,Azad Jammu Kashmir   /   Mirpur
Fahji Foundation Vocational Training Center,Government,Vocational,Female,Azad Jammu Kashmir   /   Bhimber
Fahji Foundation Vocational Training Center,Government,Vocational,Female,Azad Jammu Kashmir   /   Bagh
Fahji Foundation Vocational Training Center,Government,Vocational,Female,Azad Jammu Kashmir   /   Mirpur
Swedish Institute of Technology,Private,Technical,Male,Azad Jammu Kashmir   /   Bagh
Silcon technical Institute of Technology,Private,Technical,Both,Azad Jammu Kashmir   /   Muzaffarabad
Faran Institute of Technology,Private,Technical,Male,Azad Jammu Kashmir   /   Bhimber
Sudhnati Polytechnic Institute,Private,Technical,Male,Azad Jammu Kashmir   /   Pallandri
Kashmir Institute of Technology,Private,Technical,Both,Azad Jammu Kashmir   /   Muzaffarabad
New Kashmir Polytechnic Institution,Private,Technical,Both,Azad Jammu Kashmir   /   Kotli
NITPEN,Private,Technical,Male,Azad Jammu Kashmir   /   Muzaffarabad
Trend Setter technical collage,Private,Technical,Both,Azad Jammu Kashmir   /   Muzaffarabad
"KHAN MUHAMMAD KHAN COLLEGE OF EDUCATION & TECHNOLOGY, NEAR GOVT. GIRLS HIGH SCHOOLL  BHIMBER (AJK)",Private,Technical,Male,Azad Jammu Kashmir   /   Bhimber
Government College of Technology Rawlakot,Government,Technical,Male,Azad Jammu Kashmir   /   Poonch
Sika Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
I.T Center of High School Siksa,Government,Vocational,Male,Gilgit Baltistan   /   Ghanchi
Thogmus Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Piun Vocational Training Center,Government,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Saadia Dsitkori School,Government,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Dastkari School Giantha,Government,Vocational,Female,Gilgit Baltistan   /   Ghanchi
City of Knowledge Vocational Center,Private,Vocational,Both,Gilgit Baltistan   /   Ghanchi
Vocational Center Siksa Kalan,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Vocational Center Partuk,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Vocational Training CenterMarcha,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Girls H/s Computer Training Center,Government,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Vocational Training CenterYouchung,Government,Vocational,Female,Gilgit Baltistan   /   Ghanchi
WD Vocational Training CenterStrompi,Government,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Women Dev. Vocational Training CenterBathong,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Vocational Women Institute ( SWO),Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Social Welfare Organisation(SWO) Computer Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Computer Training Center Strompi,Government,Vocational,Male,Gilgit Baltistan   /   Ghanchi
Pak Baitul Mal Vocational Training Center,Government,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Hamdard Welfare Society,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Fatima Ali Cho Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
LSO Computer Training Center,Private,Vocational,Both,Gilgit Baltistan   /   Ghanchi
Al-Tather Vocational Training CenterChaqchan,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Women Vocational Training Center Daghoni,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Al Hajira Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Vocational Training CenterBalghar,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Technical Stream Vocational Training Center,Government,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Vocational Women Institute Saith,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Vocational Women Institute Dumsum,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Women Vocational Training Center Surmo,Government,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Sum Valley Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Vocational Training CenterSailing,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
Islamic Education Center Keris CBS,Private,Vocational,Both,Gilgit Baltistan   /   Ghanchi
Faiz Buksh Welfare Society,Private,Vocational,Both,Gilgit Baltistan   /   Ghanchi
Women Welfare and Development Society,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
National Police Foundation Vocational School,Private,Vocational,Female,Gilgit Baltistan   /   Ghanchi
I.T Center H/S Kuro,Government,Vocational,Male,Gilgit Baltistan   /   Ghanchi
Vocational Center Gupis,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Vocational Center,Private,Vocational,Both,Gilgit Baltistan   /   Ghizer
Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
New Al-Azhar Computer Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Zimraan Institute of IT,Private,Vocational,Both,Gilgit Baltistan   /   Ghizer
CLRC,Private,Vocational,Both,Gilgit Baltistan   /   Ghizer
Central Asia Institute of Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Gems Cutting Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Cdenteral Asia Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Sefl Employment Program,Government,Vocational,Female,Gilgit Baltistan   /   Ghizer
Shandoor Vocational Center Gulagmoli,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Dawoodabad Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Bilhanz Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Al Noor Academy & Computer,Private,Vocational,Both,Gilgit Baltistan   /   Ghizer
Al Hussain Academy,Private,Vocational,Both,Gilgit Baltistan   /   Ghizer
WAFE,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Mehwish Center of Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Women Vocational Training Center Sher Qilla,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Global Computer Center,Private,Vocational,Male,Gilgit Baltistan   /   Ghizer
Women Skill Dev. Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Central Asia Institute of Vocational Center Bar Jangal,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Women Skill Dev. Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Women Skill Dev. Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
NAVTEC Ghizer,Government,Vocational,Male,Gilgit Baltistan   /   Ghizer
CAI Vocational Center Hundur,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
Baitul Mal Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Ghizer
KADO,Government,Vocational,Male,Gilgit Baltistan   /   Ghizer
Rupani Foundation,Private,Vocational,Both,Gilgit Baltistan   /   Ghizer
KADO i-tech,Private,Vocational,Both,Gilgit Baltistan   /   Ghizer
Al shehbaz Women Voc.Training institute,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Fatima Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Vocational Center Sadiqabad,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Zainabia Vocatinal Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Hunar Kada,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Nayab Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
ABWA Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Rabi-ul-Anam Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Zaiban Vocational Center Astana,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Tehmina Vocational Center Astana,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Qamreen Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
LG& RD vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Al Sherbaz Vocaitonal School Hargisa,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Vocational Center LSO Shigar Kalan,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Al Asif Vocational School Shaqthang,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Mehboob Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Kashmala Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Al Khadija Vocational Center Krasma thang,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Al Sakina Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Meraj Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Women Development Resource Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Al Rehana Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Al hilal Voc Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Al zehra Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Gulman Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
ASRA Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Baghicha Silai Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Hargisa Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Karakurum Paradise Computer Training Center,Private,Vocational,Both,Gilgit Baltistan   /   Sukurdu
Karakurum Paradise Computer Training Center,Private,Vocational,Both,Gilgit Baltistan   /   Sukurdu
Haq Computers,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Daniyal Woolen Spining Training,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
IT Training Center Boys High School No 1,Government,Vocational,Male,Gilgit Baltistan   /   Sukurdu
Diya Dastkari School,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
K-2 Wooln Weaving Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Awais Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Thorgo Shomal Spining Triaining Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
SWO Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Bedar Wood Craft Training Center,Private,Vocational,Male,Gilgit Baltistan   /   Sukurdu
Al Nida Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Adoleen Friendly Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Visual Ascent Computer Training Center,Private,Vocational,Male,Gilgit Baltistan   /   Sukurdu
Gems Cutting & Polishing,Private,Vocational,Both,Gilgit Baltistan   /   Sukurdu
Anam Vocational Training CenterBaraqchan,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
SWO Computer Training Center,Private,Vocational,Male,Gilgit Baltistan   /   Sukurdu
Lacho Silai Center Stak,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Mehak Beauty Parlour & Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
IT Center Gamba,Government,Vocational,Male,Gilgit Baltistan   /   Sukurdu
IT Center Alchori,Government,Vocational,Male,Gilgit Baltistan   /   Sukurdu
IT Center HS Churka,Government,Vocational,Male,Gilgit Baltistan   /   Sukurdu
Women Vocational Center Sherthang,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Community Computer Center Sharthang,Private,Vocational,Both,Gilgit Baltistan   /   Sukurdu
Khadija Maryam Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Fatima Ali Joo Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Nayab School of Arts,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Amina Techinical Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Technical Stream FG High School,Government,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Ainees Happy Home,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Pak Baitul Mal Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Laraib Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
LG& RD vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Vocational & Technical Training Institute,Private,Vocational,Both,Gilgit Baltistan   /   Sukurdu
Al Miraj Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Falahi Tanzeem Kaseer-ul-Mauqarid,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Suguldo Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Sawera Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Mehmoodi Silai Center,Government,Vocational,Male,Gilgit Baltistan   /   Sukurdu
Maqpoon Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Syeda Ghadira Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Shagri Bala Welfare Association Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Al khadija Silai Center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Baltistan Welfare Org Vocational Training Center,Private,Vocational,Both,Gilgit Baltistan   /   Sukurdu
Vocational Training CenterSundus,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
K2 Woolen Shaul & Fabric Training Center,Private,Vocational,Both,Gilgit Baltistan   /   Sukurdu
LG Computers,Private,Vocational,Male,Gilgit Baltistan   /   Sukurdu
Sabi Electrical Training Center,Private,Vocational,Male,Gilgit Baltistan   /   Sukurdu
Vocational Training center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Vocational Training center,Private,Vocational,Female,Gilgit Baltistan   /   Sukurdu
Madina Vocational Center Gilgit,Private,Vocational,Female,Gilgit Baltistan   /   Gilgit
B.C Gilgit,Private,Vocational,Both,Gilgit Baltistan   /   Gilgit
Vocational Training Center,Government,Vocational,Male,Gilgit Baltistan   /   Gilgit
Typing of Short Hands Center,Government,Vocational,Male,Gilgit Baltistan   /   Gilgit
Typing of Short Hands Center,Private,Vocational,Female,Gilgit Baltistan   /   Gilgit
FF Vocational Training Center,Private,Vocational,Female,Gilgit Baltistan   /   Gilgit
KVC,Private,Vocational,Female,Gilgit Baltistan   /   Gilgit
Vocational Training center,Private,Vocational,Female,Gilgit Baltistan   /   Gilgit
Vocational Training center,Private,Vocational,Female,Gilgit Baltistan   /   Gilgit
Vocational Center Shayar,Private,Vocational,Female,Gilgit Baltistan   /   Gilgit
Green Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Gilgit
Mono Bar Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Gilgit
IDP's Vocational Center,Private,Vocational,Female,Gilgit Baltistan   /   Gilgit
HWVC,Private,Vocational,Female,Gilgit Baltistan   /   Gilgit
Darul Huner Handicraft pvt,Private,Vocational,Female,Gilgit Baltistan   /   Gilgit
Shaheen Women Welfare Dev Organization,Private,Vocational,Female,Gilgit Baltistan   /   Gilgit
Vocational Center Sumayar,Government,Vocational,Female,Gilgit Baltistan   /   Gilgit
DARUL MUNAR VOCATIONAL CENTRE,Private,Vocational,Both,Gilgit Baltistan   /   Diamir
DASTAKARI SCHOOL,Private,Vocational,Both,Gilgit Baltistan   /   Diamir
