Name,Sector,Address,Phone,Email,Website
BENAZIR BHUTTO SHAHEED UNIVERSITY LYARI,Public,"Fakir Muhammad Dura Khan Road, Near Kashti Chowk Lyari, Karachi, Postal Code: 75660. ","+92-21-32744020, +92-21-327440", info@bbsul.edu.pk ,http://www.bbsul.edu.pk
CECOS UNIVERSITY OF INFORMATION TECHNOLOGY & EMERGING SCIENCES,Private,"CECOS University, Phase 6, Sector F-5, Hayatabad, Peshawar. ",-5864290, info@www.cecos.edu.pk ,http://www.cecos.edu.pk
COMSATS INSTITUTE OF INFORMATION TECHNOLOGY,Public,"Park Road, Tarlai Kalan,  Islamabad 45550, Pakistan ",051-90495112, registrar@comsats.edu.pk ,https://www.comsats.edu.pk/
CAPITAL UNIVERSITY OF SCIENCE & TECHNOLOGY,Private,"Capital University of Science & Technology  Islamabad Expressway,  Kahuta Road, Zone-V  Islamabad.","+92-51-2512800-1, +92-51-44867", registrar@cust.edu.pk ,http://www.cust.edu.pk/ 
CITY UNIVERSITY OF SCIENCE AND INFORMATION TECHNOLOGY,Private,"City University  Of Science and Information Technology Dalazak Road Peshawar, Pakistan.",-2609508, info@cusit.edu.pk ,http://www.cityuniversity.edu.pk
COMMECS INSTITUTE OF BUSINESS & EMERGING SCIENCES,Private,"Plot No. 40-B, Block-6, PECHS, Karachi. ","+92-21-34634104, +92-21-343200", info@commecsinstitute.edu.pk ,http://www.commecsinstitute.edu.pk
DHA SUFFA UNIVERSITY,Private,"DG-78, Off Khayaban-e-Tufail, Ph-VII (Ext),DHA, Karachi-75500.",-35244804, info@dsu.edu.pk ,http://www.dsu.edu.pk
DOW UNIVERSITY OF HEALTH SCIENCES,Public,"Baba-E-Urdu Road, Karachi 74200. ",-99248334, ctu@duhs.edu.pk ,http://www.duhs.edu.pk
DADABHOY INSTITUTE OF HIGHER EDUCATION,Private,"SNPA-17/B, Block 3, P.E.C.H.Society,Shaheed-e-Millat Road, Karachi. ","+92-21-34389108, +92-21-111-02", registrar@dadabhoy.edu.pk ,http://www.dadabhoy.edu.pk
DAWOOD UNIVERSITY OF ENGINEERING & TECHNOLOGY,Public,"M.A. Jinnah Road, Karachi 74800. ","+92-21-99230701, +92-21-992311", info@duet.edu.pk ,http://www.duet.edu.pk
"FATIMA JINNAH MEDICAL UNIVERSITY, LAHORE",Public,"Shara-I-Fatima Jinnah ,Queens Road  Lahore "," 99200572-8, 99203718 111-222-", info.college@fjmc.edu.pk ,http://www.fjmc.edu.pk/ 
"FEDERAL URDU UNIVERSITY OF ARTS, SCIENCES & TECHNOLOGY",Public,"Sector G-7/1, Near Zero Point,Islamabad. ",-9252883, info@fuuastisb.edu.pk ,http://www.fuuastisb.edu.pk/ 
FORMAN CHRISTIAN COLLEGE,Private,Forman Christian College  Ferozepur Road  Lahore 54600  Pakistan,"+92-42-99230782, +92-42-992315", contact@fccollege.edu.pk ,http://www.fccollege.edu.pk
FOUNDATION UNIVERSITY,Private,"Defence Avenue, Phase-I, DHA,Islamabad ","+92-51-5788171, +92-51-5788250", info@fui.edu.pk ,http://www.fui.edu.pk/
GIFT UNIVERSITY,Private,"Sialkot Bypass, Gujranwala, Pakistan. ",-3892944, info@gift.edu.pk ,http://www.gift.edu.pk
GANDHARA UNIVERSITY,Private,"Canal Road University Town, Peshawar. ",-640311, info@gandhara.edu.pk ,http://www.gandhara.edu.pk
GHAZI UNIVERSITY,Public,"Ghazi University, Dera Ghazi Khan - City Campus,  College Chowk, Near Pul Dat.",-9260352, info@gudgk.edu.pk ,http://www.gudgk.edu.pk
GHULAM ISHAQ KHAN INSTITUTE OF ENGINEERING SCIENCES & TECHNOLOGY,Private,"GIK Institute of Engineering Sciences and Technology, Topi 23640, District Swabi, Khyber Pakhtunkhwa, Pakistan.","+92-938-271875,+92-938-271897", sherali@giki.edu.pk ,http://www.giki.edu.pk
GOMAL UNIVERSITY,Public,"Indus HWY, DI Khan City, Dera Ismail Khan, Khyber Pakhtoonkhwa, Dera Ismail Khan, Pakistan","+92-966-750266, +92-966-750279", submit.gomalujr@gmail.com ,http://www.gu.edu.pk/
GOVERNMENT COLLEGE UNIVERSITY,Public,"Kotwali Rd, Faisalabad 38000, Pakistan. ","+92-41-9200670, +92-41-9201266", info@gcuf.edu.pk ,http://www.gcuf.edu.pk
"GOVERNMENT COLLEGE UNIVERSITY, LAHORE",Public,"Near Nasir Bagh, Katchery Rd, Lahore 54000, Pakistan. ",+92-42-111 000 010 , registrar@gcu.edu.pk ,http://www.gcu.edu.pk
Government College Women University Faisalabad,Public,"Government College Women University, Shafique Road Faisalabad Zip Code 38000",-9220014, info@gcwuf.edu.pk ,http://gcwuf.edu.pk/
"GOVERNMENT COLLEGE FOR WOMEN UNIVERSITY, SIALKOT",Public,"Kutchehry Road, Sialkot Pakistan","+92-52-925 0170, +92-52-925 05", info@gcwus.edu.pk ,http://www.gcwus.edu.pk/ 
GOVERNMENT SADIQ COLLEGE WOMEN UNIVERSITY,Public,"Government Sadiq College Women University, Bahawalpur. ","+92-62-2284803, +92-62 9250075", info@gscwu.edu.pk ,https://www.gscwu.edu.pk/
GREENWICH UNIVERSITY,Private,"DK-10, 38th Street, Darkshan, DHA, Phase 6, Karachi 75500. ","(92)(21) 35840397/98, (92)(21)", gu@greenwich.edu.pk ,http://www.greenwich.edu.pk/
HITEC UNIVERSITY,Private,"Museum Road, Taxila Cantt","+92-51-4908142, +92-51-3010514", assistant.registrar@hitecuni.edu.pk ,http://www.hitecuni.edu.pk
HABIB UNIVERSITY,Private,"Habib University Foundation147, Block 7 & 8 Banglore Cooperative Housing SocietyTipu Sultan Road Karachi – 75350. ",+92-21-111-042 242 , aamir.siddiqui@habib.edu.pk ,http://www.habib.edu.pk
HAJVERY UNIVERSITY,Private,"43-52 Industrial Area Gulberg III, Lahore. ","+92-42-35717130-1, +92-42-111 ", registrar@hup.edu.pk ,http://www.hajvery.edu.pk
HAMDARD UNIVERSITY,Private,"Madinat-al-Hikmah, Sharea Madinat al-Hikmah, Muhammad Bin Qasim Avenue, Karachi 74600. ","+92-21-36440030021, +92-21-364", info@hamdard.edu.pk ,http://www.hamdard.edu.pk
HAZARA UNIVERSITY,Public,DHODIAL MANSEHRA [NWFP],"+92-997-530732, +92-997-414121", registrar@hu.edu.pk ,http://www.hu.edu.pk
INDUS VALLEY SCHOOL OF ART & ARCHITECTURE,Private,"Street 33, Block 2, Scheme-5, Clifton, Karachi.75600 ",-638, info@ivs.edu.pk ,http://www.indusvalley.edu.pk
INDUS UNIVERSITY,Private,"ST-2D, Block-17, Adjacent National Stadium Gulshan-e Iqbal, Opp: Mushriq Centre, Karachi. ","+92-21-34977457, +92-21- 34801", admission.site@indus.edu.pk ,http://www.indus.edu.pk
INFORMATION TECHNOLOGY UNIVERSITY OF THE PUNJAB,Public,"6th Floor, Arfa Software Technology Park, Ferozepur Road, Lahore","+92-42-99232124, +9242-9923253", admission@itu.edu.pk ,http://www.itu.edu.pk
INSTITUTE OF BUSINESS & TECHNOLOGY,Private,"Main Ibrahim Hydri Road, Korangi Creek, Karachi. ","+92-21-35120462, +92-21-350918", info@biztek.edu.pk ,http://www.biztek.edu.pk
INSTITUTE OF BUSINESS ADMINISTRATION,Public,"Plot # 68 & 88 Garden / Kayani Shaheed Road, Karachi - 74400 Pakistan",92-21-38104700, info@khi.iba.edu.pk ,http://www.iba.edu.pk
INSTITUTE OF BUSINESS MANAGEMENT,Private,"Korangi Creek, Karachi-75190, Pakistan. ",(+92-21)3509-0961-67, mec@iobm.edu.pk ,http://www.iobm.edu.pk
INSTITUTE OF MANAGEMENT SCIENCES,Public,"I-A, Sector E-5, Phase-VII, Hayatabad, Peshawar. "," 091-9217408,091-9217443,091-9", info@imsciences.edu.pk ,http://www.imsciences.edu.pk
"INSTITUTE OF MANAGEMENT SCIENCES, Lahore ",Private," 23-E-III, Gulberg-III, 54660 Lahore, Pakistan","+92-42-35751115-8, +92-42-3575", info@pakaims.edu.pk ,http://www.pakaims.edu.pk
INSTITUTE OF SOUTHERN PUNJAB,Private,"9-KM, Bosan Road, Multan, Pakistan",-1343, info@isp.edu.pk ,http://isp.edu.pk/ 
INSTITUTE OF SPACE TECHNOLOGY,Public,"Institute of Space Technology , P.O. Box 2750 Islamabad 44000 , Pakistan","+92-51-9075100, +92-51-9273310", info@ist.edu.pk ,http://www.ist.edu.pk/ 
INTERNATIONAL ISLAMIC UNIVERSITY,Public,"Sector H-10 Islamabad 44000, Pakistan","+92-51-9257988, +92-51-9019616", khalidmraja@iiu.edu.pk ,http://www.iiu.edu.pk/
IQRA NATIONAL UNIVERSITY,Private,"Phase-II, Hayatabad Peshawar",+92-91-5822 852091 , info@inu.edu.pk ,http://www.inu.edu.pk
IQRA UNIVERSITY,Private,"Defence View, Shaheed-e-Millat Road, (Ext), Karachi.","+92-21-35310802, +92-21-353108", registrar@iqra.edu.pk ,http://www.iqra.edu.pk
ISLAMIA COLLEGE UNIVERSITY,Public,"Jamrod Road, University Campus,Peshawar. ",-9216008, registrar@icp.edu.pk ,http://www.icp.edu.pk
ISLAMIA UNIVERSITY,Public,The Islamia University of Bahawalpur  Pakistan.,92 - 62 - 9250235 , info@iub.edu.pk ,http://www.iub.edu.pk
ISRA UNIVERSITY,Private,"Isra University, Hala Road, Hyderabad Sindh, Pakistan",(92 22) 2030181-4, admissions@isra.edu.pk ,http://www.isra.edu.pk
JINNAH SINDH MEDICAL UNIVERSITY,Public,"Rafique H.J Shaheed Road, Karachi. ","+92-21-99204776, +92-21- 35223", admissions@jsmu.edu.pk ,http://www.jsmu.edu.pk
JINNAH UNIVERSITY FOR WOMEN,Private,"Jinnah University for Women, 5-C, Nazimabad, Karachi 74600. ","+92-21-36611245, +92-21-366199", info@juw.edu.pk ,http://www.juw.edu.pk
KASB INSTITUTE OF TECHNOLOGY,Private,"84-B, S.M.C.H.S, Off Shahrah-e-Faisal,  Karachi-74400, Pakistan. ",+92-21-343 14970-3 , info@kasbit.edu.pk ,http://www.kasbit.edu.pk
KARACHI INSTITUTE OF ECONOMICS & TECHNOLOGY,Private,"PAF-KIET Main Campus Korangi Creek, Karachi 75190",-35091050, registrar@pafkiet.edu.pk ,http://www.pafkiet.edu.pk
KARACHI SCHOOL FOR BUSINESS & LEADERSHIP,Private,"National Stadium Road Opp. Liaquat National Hospital,Karachi – 74800. ","+92-21-721021, +92-21-38771999", info@ksbl.edu.pk ,http://www.ksbl.edu.pk
KARAKURUM INTERNATIONAL UNIVERSITY,Public,"Karakoram International University, Main Campus University Road Gilgit (15100) Pakistan",-966159, info@kiu.edu.pk ,http://www.kiu.edu.pk
KHAWAJA FREED UNIVERSITY OF ENGINEERING & INFORMATION TECHNOLOGY,Public,"Abu Dhabi Road, Rahim Yar Khan","+92-68-9239121, +92-68-9239122", info@kfueit.edu.pk ,http://www.kfueit.edu.pk/ 
KHYBER MEDICAL UNIVERSITY,Public,PDA building Block-4 Phase-5 Hayatabad Peshawar ,-9217694, info@kmu.edu.pk ,http://www.kmu.edu.pk
KHYBER PAKHTUNKHWA AGRICULTURAL UNIVERSITY,Public,"KHYBER PAKHTUNKHWA AGRICULTURAL UNIVERSITY,University Campus, Peshawar","+92-91-9216518091, +92--921657", riazadil@aup.edu.pk ,http://www.aup.edu.pk
KING EDWARD MEDICAL UNIVERSITY,Public,"Nelagumbad near New Anarkali, Lahore. ","+92-42-99211151, +92-42-373540", info@kemu.edu.pk ,http://www.kemu.edu.pk
KINNAIRD COLLEGE FOR WOMEN,Public,"Kinnaird College for Women 93- Jail Road, Lahore",-99203735, info@kinnaird.edu.pk ,http://www.kinnaird.edu.pk
KOHAT UNIVERSITY OF SCIENCE AND TECHNOLOGY,Public,"Bannu Rd, Kohat 26000, Khyber Pakhtunkhwa. ","+92-922-554578, +92-922-529147", registrar@kust.edu.pk ,http://www.kust.edu.pk
LAHORE COLLEGE FOR WOMEN UNIVERSITY,Public,"Lahore College for Women University, Jail Road, Lahore.  ",-99203038, registrar@lcwu.edu.pk ,http://www.lcwu.edu.pk
LAHORE GARRISON UNIVERSITY,Private,"Main Campus, Sector C, DHA Phase-VI, Lahore. ",-37181793, info@lgu.edu.pk ,http://lgu.edu.pk/ 
LAHORE LEADS UNIVERSITY,Private,"5-Tipu Block, New Garden Town, Lahore. ","+92-42-35846330, +92-423584320", admission@leads.edu.pk ,http://www.leads.edu.pk
LAHORE UNIVERSITY OF MANAGEMENT SCIENCES,Private,"D.H.A, Lahore Cantt. 54792  Lahore, Pakistan. ",+92 42 3560 8000, mahjabeen.ahmad@lums.edu.pk ,http://www.lums.edu.pk
LIAQUAT UNIVERSITY OF MEDICAL & HEALTH SCIENCES,Public,"Liaquat University of Medical & Health Sciences Jamshoro, Sindh - Pakistan","+92-22-9213305, +92-22-9213307", registrar@lumhs.edu.pk ,http://www.lumhs.edu.pk
MEHRAN UNIVERSITY OF ENGINEERING & TECHNOLOGY,Public,"Indus Highway, Jamshoro 76062, Pakistan. ",+92 (22) 2772250-73, registrar@admin.muet.edu.pk ,http://www.muet.edu.pk
MINHAJ UNIVERSITY,Private,"Near Hamdard Chowk, Township, Lahore.","+92-42-351206800, +92-42-35145", info@mul.edu.pk ,http://www.mul.edu.pk
MIRPUR UNIVERSITY OF SCIENCE & TECHNOLOGY,Public,"Mirpur University of Science and Technology (MUST), Admin Block, Allama Iqbal Road, Sector B-3, Mirpur. ",-966769, info@must.edu.pk ,http://www.must.edu.pk
MUHAMMAD ALI JINNAH UNIVERSITY,Private,"22-E, Block-6, PECHS, Karachi 75400 ","+92-21-111-87-87-87, +92-21-34", info@jinnah.edu ,http://www.jinnah.edu
MUHAMMAD NAWAZ SHAREEF UNIVERSITY OF AGRICULTURE,Public,"Old Shujaabad Road, Chungi No. 21, Sui Gas road, Multan",-18403329, info@mnsuam.edu.pk ,http://www.mnsuam.edu.pk
MUHAMMAD NAWAZ SHARIF UNIVERSITY OF  ENGINEERING & TECHNOLOGY,Public,"GCT, Old Bahwalpur Road, Multan. ",-4482422, info@mnsuet.edu.pk ,http://www.mnsuet.edu.pk/ 
MUSLIM YOUTH UNIVERSITY,Private,"Muslim Youth University. PO Box 21177  G-10, subsector 4 (G-10/4) Islamabad "," +92-51-8733217, +92-51-873321", contact@myu.edu.pk ,http://myu.edu.pk/ 
NED UNIVERSITY OF ENGINEERING & TECHNOLOGY,Public,"NED University of Engineering & Technology University Road, Karachi - 75270, Pakistan","+92-21-99261253, +92-21-99261 ", registrar@neduet.edu.pk ,http://www.neduet.edu.pk
NFC INSTITUTE OF ENGINEERING & TECHNOLOGY,Public,"NFC Institute of Engineering and Technology, Opposite Pak Arab Fertilizers, Khanewal Road, Multan, Pakistan ","+92-61-9220044, +92-61-9220012", info@nfciet.edu.pk ,http://www.nfciet.edu.pk
NATIONAL COLLEGE OF ARTS,Public,"4, Shahrah-E-Quaid-E-Azam, Lahore,Pakistan","+92 42 99210599, 99210601 ", info@nca.edu.pk ,http://www.nca.edu.pk
NATIONAL COLLEGE OF BUSINESS ADMINISTRATION & ECONOMICS,Private,"National College of Business Administration & Economics, 40-E1, Gulberg III, Lahore 54660, Pakistan","+92 (42) 3575-2716, 19", admission@ncbae.edu.pk ,http://www.ncbae.edu.pk
NATIONAL DEFENSE UNIVERSITY,Public,"Sector E-9, Islamabad ",051-9262066-68, gso1trg@ndu.edu.pk ,http://www.ndu.edu.pk/ 
NATIONAL TEXTILE UNIVERSITY,Public,"National Textile University: Sheikhupura Road, Faisalabad 37610, Pakistan",92 (041) 9230081-90, info@ntu.edu.pk ,http://www.ntu.edu.pk
NATIONAL UNIVERSITY OF COMPUTER & EMERGING SCIENCES (FAST),Private,"A.K Brohi Road , Sector H-11/4, Islamabad. ","+92-51-111 128 128, +92-51-831", admissions@nu.edu.pk ,http://www.nu.edu.pk/ 
NATIONAL UNIVERSITY OF MEDICAL SCIENCES,Public,"National University of Medical Sciences, The Mall, Rawalpindi, Pakistan.",-9270636, info@numspak.edu.pk ,http://numspak.edu.pk/ 
NATIONAL UNIVERSITY OF MODERN LANGUAGES (NUML),Public,"National University of Modern Languages  H-9 Islamabad ,Pakistan. ","+92-51-111-11-6878, +92-51-908", info@numl.edu.pk ,http://www.numl.edu.pk/ 
NATIONAL UNIVERSITY OF SCIENCES & TECHNOLOGY,Public,"National University of Sciences and Technology. NUST Campus, H-12, Islamabad, Pakistan. ", +92-51-111-11-6878, hrm@nust.edu.pk ,http://www.nust.edu.pk/ 
NAZEER HUSSAIN UNIVERSITY,Private,"Address: ST-2 Block-4, Federal B Area Near Karimabad Karachi.",+92-21- 3636 2046-54 , info@nhu.edu.pk ,http://www.nhu.edu.pk/ 
NEWPORT INSTITUTE OF COMMUNICATIONS & ECONOMICS,Private,"40-L, PECHS Block-6, Karachi. ","+9221-34541067, +9221-36671234", info@newports.edu.pk ,http://www.newports.edu.pk
NORTHERN UNIVERSITY NOWSHERA,Private,"The Northern University (Main Campus), Wattar Walai Ziarat, Kaka Sahib Road Nowshera, KPK, PK","+92-923-613487, +92-923-613485", info@northern.edu.pk ,http://www.northern.edu.pk
NUR INTERNATIONAL UNIVERSITY,Private,"11/I-B, Model Town, Lahore, Pakistan","+92-42-111555600, +92-42-37421", info@niu.edu.pk ,http://www.niu.edu.pk
PAKISTAN INSTITUTE OF DEVELOPMENT ECONOMICS (PIDE),Public,"Pakistan Institute of Development Economics (PIDE),  Quaid-i-Azam University Campus,  P.O. Box. 1091, Islamabad,  44000, Pakistan. ",-18496057, registrar@pide.org.pk ,http://www.pide.org.pk/ 
PAKISTAN INSTITUTE OF ENGINEERING & APPLIED SCIENCES,Public,"Nilore, Islamabad, Pakistan. ",+92 51 1111 74327, registrar@pieas.edu.pk ,http://www.pieas.edu.pk/ 
PAKISTAN INSTITUTE OF FASHION & DESIGN,Public," 51-JIII Joher Town. Lahore , P.O.Box 542782 Pakistan", 042-99232951-7, info@pifd.edu.pk ,http://www.pifd.edu.pk 
PEOPLES UNIVERSITY OF MEDICAL & HEALTH SCIENCES FOR WOMEN,Public,"Peoples University of Medical & Health Sciences for Women, Nawabshah 67480 (SBA). ",-9370412, registrar@pumhs.edu.pk ,http://www.pumhs.edu.pk
PIR MEHR ALI SHAH ARID AGRICULTURE UNIVERSITY,Public,"PMAS-Arid Agriculture University Rawalpindi,  Shamsabad, Muree Road Rawalpindi - Pakistan. ",-9292063, registrar@uaar.edu.pk ,http://www.uaar.edu.pk
PRESTON UNIVERSITY,Private,"Sector 10 Street 3 KDA Kohat, Kohat, Pakistan,  Islamabad Campus: Plot No 85, Street 3, Sector H-8/1,Islamabad. ",-8491259, kohat@preston.edu.pk ,http://www.preston.edu.pk
PRESTON UNIVERSITY,Private,"Main Campus:15, Banglore Town, Shahrah-e-Faisal,Karachi. ",-34398656, karachi@preston.edu.pk ,http://www.preston.edu.pk
QARSHI UNIVERSITY,Private,"Qarshi University 8-Km Thokar Niaz baig, Canal Bank Road, Opposite lzmir Town, Lahore- Pakistan. 54000","+92-42-37576946,+92-42-3742976", info@qu.edu.pk ,http://www.qu.edu.pk
"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCES & TECHNOLOGY",Public,"Quaid-e-Awam University Sakrand Road, Nawabshah, Sindh, Pakistan",0244-9370381-5, registrar@quest.edu.pk ,http://www.quest.edu.pk 
QUAID-I-AZAM UNIVERSITY,Public,"Quaid-i-Azam University Islamabad, 45320, Pakistan. ",+92-051-9064 0000 , info@qau.edu.pk ,https://www.qau.edu.pk/ 
QURTABA UNIVERSITY OF SCIENCE & INFORMATION TECHNOLOGY,Private,"Sheikh Yusuf Road, Dera Ismail Khan, ",+92 (966) - 714007/8, dik@qurtuba.edu.pk ,http://www.qurtuba.edu.pk
RIPHAH INTERNATIONAL UNIVERSITY,Private,"Sector I-14, Hajj Complex, Islamabad.",+92 (51) 844 6000-7, admissions@riphah.edu.pk ,https://www.riphah.edu.pk/ 
SARDAR BAHADUR KHAN WOMEN UNIVERSITY,Public,"SBK Women's University, Brewery Road Quetta, Balochistan,Pakistan",+92(081) 9213303, vc@sbkwu.edu.pk ,http://www.sbkwu.edu.pk
SARHAD UNIVERSITY OF SCIENCE & INFORMATION TECHNOLOGY,Private,"Sarhad University Landi Akhun Ahmad, Hayatabad Link. Ring Road, Peshawar, Pakistan",-5230930, registrar@suit.edu.pk ,http://www.suit.edu.pk 
SHAH ABDUL LATIF UNIVERSITY,Public,"Old National Highway, Khairpur Mir's, 66020 Sindh, Pakistan",-9280274, info@salu.edu.pk ,http://www.salu.edu.pk
SHAHEED BENAZIR BHUTTO CITY UNIVERSITY,Private,"Plot F-201 1st floor & 2nd Floor, Near Site Philips Chowrangi, Labour Square, Site Police Station, Binoria Restaurant, Karachi. ","+92-21-34242136, +92-21-342420", info@sbbcu.edu.pk ,http://www.sbbcu.edu.pk
SHAHEED BENAZIR BHUTTO DEWAN UNIVERSITY,Private,"Plot # 30-A/1, Sector 23, Korangi Industrial Area, Karachi, 74900-Pakistan.","+92)- (021)-35115008-10, (021)", info@sbbdewanuniversity.edu.pk ,http://www.sbbdewanuniversity.edu.pk/
SHAHEED BENAZIR BHUTTO UNIVERSITY OF VETERINARY & ANIMAL SCIENCES,Public,"Main Nawabshah road, Sakrand, District Shaheed Benazirabad",-322302, info@sbbuvas.edu.pk ,http://www.sbbuvas.edu.pk
"SHAHEED BENAZIR BHUTTO UNIVERSITY, SHAHEED BENAZIRABAD",Public,"SHAHEED BENAZIR BHUTTO UNIVERSITY, SHAHEED BENAZIRABAD, Pakistan 67450","+92-244-9370520, +92-244-93705", info@sbbusba.edu.pk ,http://www.sbbusba.edu.pk/
SHAHEED BENAZIR BHUTTO WOMEN UNIVERSITY,Public,"Shaheed Benazir Bhutto Women University, Opposite Fort Balahisar near LRH, Peshawar Pakistan.","+92-91-9212422, +92-91-922 477", info@sbbwu.edu.pk ,http://www.sbbwu.edu.pk
SHAHEED MOHTARMA BENAZIR BHUTTO MEDICAL UNIVERSITY,Public,"Shaheed Mohtarma Benazir Bhutto Medical University Larkana, Sindh, Pakistan","+92-74-9410724, +92-74-9410908", registrar@smbbmu.edu.pk ,http://www.smbbmu.edu.pk
SHAHEED ZULFIKAR ALI BHUTTO INSTITUTE OF SCIENCE & TECHNOLOGY,Private,"SZABIST 90 and 100 Clifton, Karachi 75600, Pakistan",(92-21) 111-922-478, info@szabist.edu.pk ,http://www.szabist.edu.pk
SHAHEED ZULFIQAR ALI BHUTTO MEDICAL UNIVERSITY,Public,"Shaheed Zulfiqar Ali Bhutto Medical University (SZABMU), PIMS, G-8/3, Islamabad, 44000",(92) (51) (9107) 687, info@szabmu.edu.pk ,http://www.szabmu.edu.pk/
SHAHEED ZULFIQAR ALI BHUTTO UNIVERSITY OF LAW,Public,"Chaudry Khaliq-uz-Zaman Road, Near Lilly Bridge, Clifton, Karachi. ",-99206434, info@szabul.edu.pk ,http://www.szabul.edu.pk 
SHIFA TAMEER-E-MILLAT UNIVERSITY,Private,"Shifa Tameer-e-Millat University  Pitras Bukhari Road, H-8/4  Islamabad 44000 Pakistan ","+92-51-8464214, +92-51-8464215", info@stmu.edu.pk ,http://www.stmu.edu.pk/ 
UNIVERSITY OF TECHNOLOGY (SHUHADA-E-ARMY PUBLIC SCHOOL),Public,"Ex-Adamjee Paper and Board Mills, Amangarh, Nowshera. 24100 ",0923-560301, samibangash@uotnowshera.edu.pk ,http://uotnowshera.edu.pk/ 
SINDH AGRICULTURE UNIVERSITY,Public,"Sindh Agriculture Univeristy, Tandojam Hyderabad, Sindh Pakistan Postal Code: 70060",-2765800, info@sau.edu.pk ,http://www.sau.edu.pk
SINDH INSTITUTE OF MANAGEMENT & TECHNOLOGY,Private,"ST-25, BLOCK 14, GULISTAN-E-JOHAR, KARACHI",021 111-746-746, info@simt.edu.pk ,http://www.simat.edu.pk 
SINDH INSTITUTE OF MEDICAL SCIENCES,Private,"Civil Hospital Karachi 74200, Pakistan", (92-21) 99215752 & 99215718, info@siut.org ,http://www.siut.org 
SINDH MADRESATUL ISLAM UNIVERSITY,Public,"Aiwan-e-Tijarat Road,  Karachi-74000, Pakistan.","+92-21-99211274, +92-21-992112", info@smiu.edu.pk ,http://www.smiu.edu.pk 
SIR SYED UNIVERSITY OF ENGINEERING & TECHNOLOGY,Private,"Main University Road,  Karachi 75300, Pakistan",+92 21 3498-8000, info@ssuet.edu.pk ,http://www.ssuet.edu.pk 
SUKKUR INSTITUTE OF BUSINESS ADMINISTRATION,Public,"Main Campus, Airport Road, Sukkur ",071-5644000-05, shoukat.abbasi@iba-suk.edu.pk ,http://www.iba-suk.edu.pk 
TEXTILE INSTITUTE OF PAKISTAN,Private,"203, Aamir Trade Centre Plot No. 233/1-A, Block 2, PECHS, Shara-e-Quaideen, Karachi. Pakistan.",(92-21) 34549734 / 34549870, info@tip.edu.pk ,http://tip.edu.pk/
THE SUPERIOR COLLEGE,Private,"Main Raiwind Road, Lahore","042-111-00-00-78 , 042-3810-42", info@superior.edu.pk ,http://www.superior.edu.pk 
