Name,Url,Difficulty,Tags
Sprachtechnologie in den Digital Humanities,https://coursera.org/learn/digital-humanities,Beginner Level,"['Data Science', 'Data Analysis']"
Learn to Program: The Fundamentals,https://coursera.org/learn/learn-to-program,Beginner Level,"['Computer Science', 'Software Development']"
Evaluación educativa del y para el aprendizaje en educación superior,https://coursera.org/learn/evaluacion-educativa,Beginner Level,"['Social Sciences', 'Education']"
Social Computing,https://coursera.org/learn/social-computing,None,"['Social Sciences', 'Governance and Society']"
Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital,https://coursera.org/learn/image-processing,None,"['Math and Logic', 'Math and Logic']"
Getting started in cryo-EM,https://coursera.org/learn/cryo-em,None,"['Health', 'Research']"
Forensic Accounting and Fraud Examination,https://coursera.org/learn/forensic-accounting,None,"['Business', 'Finance']"
Compra programática de medios: Publicidad online en tiempo real,https://coursera.org/learn/compra-programatica,Beginner Level,"['Business', 'Marketing']"
Strategic Business Management - Macroeconomics,https://coursera.org/learn/strategic-business-management-macroeconomics,Beginner Level,"['Business', 'Business Strategy']"
Data in Database,https://coursera.org/learn/data-in-database,Intermediate Level,"['Information Technology', 'Data Management']"
Exploring ​and ​Preparing ​your ​Data with BigQuery 日本語版,https://coursera.org/learn/gcp-exploring-preparing-data-bigquery-jp,Beginner Level,"['Information Technology', 'Data Management']"
Competencias digitales. Bases de datos: Access,https://coursera.org/learn/competencias-digitales-access,Beginner Level,"['Personal Development', 'Personal Development']"
世界空间、法国视角下的国际研究,https://coursera.org/learn/espace-mondial-cn,Beginner Level,"['Social Sciences', 'Governance and Society']"
Climate Change and Water in Mountains: A Global Concern,https://coursera.org/learn/climate-changes-mountains-water,Intermediate Level,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
Introduction to Systems Biology,https://coursera.org/learn/systems-biology,None,"['Health', 'Basic Science']"
"Tropical Parasitology: Protozoans, Worms, Vectors and Human Diseases",https://coursera.org/learn/parasitology,Intermediate Level,"['Health', 'Basic Science']"
Managerial Accounting Fundamentals,https://coursera.org/learn/uva-darden-managerial-accounting,Beginner Level,"['Business', 'Finance']"
The Strategy of Content Marketing,https://coursera.org/learn/content-marketing,Intermediate Level,"['Business', 'Marketing']"
Lesson | Get Ready for the Interview,https://coursera.org/learn/lesson-get-ready-for-the-interview,None,"['Language Learning', 'Learning English']"
The Science of Training Young Athletes,https://coursera.org/learn/youth-sports,Beginner Level,"['Personal Development', 'Personal Development']"
Build Your First Android App (Project-Centered Course),https://coursera.org/learn/android-app,None,"['Computer Science', 'Mobile and Web Development']"
Avatar Psychology for Designers,https://coursera.org/learn/avatar-psychology-for-designers,Beginner Level,"['Computer Science', 'Software Development']"
Building Resilient Streaming Analytics Systems on GCP,https://coursera.org/learn/streaming-analytics-systems-gcp,Intermediate Level,"['Information Technology', 'Cloud Computing']"
Introduction to Applied Machine Learning,https://coursera.org/learn/machine-learning-applied,Intermediate Level,"['Data Science', 'Machine Learning']"
Introduction to Climate Change and Health,https://coursera.org/learn/introduction-climate-change-health,Beginner Level,"['Health', 'Public Health']"
Экономика предприятия,https://coursera.org/learn/ekonomika-predpriyatiya,None,"['Business', 'Business Essentials']"
Organic Solar Cells - Theory and Practice,https://coursera.org/learn/solar-cell,None,"['Physical Science and Engineering', 'Chemistry']"
Introducción a la Calidad,https://coursera.org/learn/gestion-de-productividad,None,"['Business', 'Business Strategy']"
Analytic Combinatorics,https://coursera.org/learn/analytic-combinatorics,Intermediate Level,"['Math and Logic', 'Math and Logic']"
Supply chain management: Be global,https://coursera.org/learn/supply-chain-management-global,Beginner Level,"['Business', 'Business Strategy']"
Практики управленческой аналитики в MS Excel,https://coursera.org/learn/praktiki-upravlencheskoy-analitiki-excel,Intermediate Level,"['Business', 'Business Essentials']"
Introducción al mundo de las negociaciones,https://coursera.org/learn/estrategias-de-negociacion,None,"['Business', 'Business Essentials']"
Desenvolvimento Ágil com Padrões de Projeto,https://coursera.org/learn/desenvolvimento-agil-com-padroes-de-projeto,Intermediate Level,"['Computer Science', 'Software Development']"
CAPSTONE: Your Leadership Challenge,https://coursera.org/learn/leadership-challenge,None,"['Business', 'Leadership and Management']"
Learning Chinese : Start From Scratch (零到一學中文),https://coursera.org/learn/learn-chinese-mandarin,Beginner Level,"['Language Learning', 'Other Languages']"
Foundations of Teaching for Learning: Planning for Teaching and Learning,https://coursera.org/learn/teaching-plan,None,"['Social Sciences', 'Education']"
"The Modern World, Part One: Global History from 1760 to 1910",https://coursera.org/learn/modern-world,Beginner Level,"['Arts and Humanities', 'History']"
Effective Problem-Solving and Decision-Making,https://coursera.org/learn/problem-solving,None,"['Business', 'Business Essentials']"
Health for All Through Primary Health Care,https://coursera.org/learn/health-for-all,None,"['Health', 'Patient Care']"
Обобщенные линейные модели,https://coursera.org/learn/obobshchennye-linejnye-modeli,Intermediate Level,"['Data Science', 'Probability and Statistics']"
Introduction to Complex Analysis,https://coursera.org/learn/complex-analysis,Intermediate Level,"['Math and Logic', 'Math and Logic']"
Organizational Design and Management,https://coursera.org/learn/organizational-design-management,Beginner Level,"['Business', 'Business Strategy']"
Internet of Things: Communication Technologies,https://coursera.org/learn/internet-of-things-communication,None,"['Computer Science', 'Computer Security and Networks']"
Global Environmental Management,https://coursera.org/learn/global-environmental-management,Intermediate Level,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
K-12 Blended & Online Learning,https://coursera.org/learn/k-12-online-education,None,"['Social Sciences', 'Education']"
Inglés Empresarial: Gestión y Liderazgo,https://coursera.org/learn/ingles-empresarial-gestion-liderazgo,None,"['Language Learning', 'Learning English']"
خيارات لسانية لمحترفي الإعلام باللغة العربية,https://coursera.org/learn/arabic-for-media,Beginner Level,"['Language Learning', 'Learning English']"
Introduction to Deep Learning,https://coursera.org/learn/intro-to-deep-learning,Advanced Level,"['Data Science', 'Machine Learning']"
Creative Writing: The Craft of Style,https://coursera.org/learn/craft-of-style,None,"['Arts and Humanities', 'Music and Art']"
Брендинг в инновациях - новая коммуникационная реальность,https://coursera.org/learn/brending-v-innovaciyah,None,"['Business', 'Marketing']"
Recommender Systems:  Evaluation and Metrics,https://coursera.org/learn/recommender-metrics,None,"['Data Science', 'Machine Learning']"
Giving 2.0: The MOOC,https://coursera.org/learn/philanthropist,None,"['Business', 'Business Strategy']"
Lesson | Business English Skills: Introducing Yourself in Business Settings,https://coursera.org/learn/lesson-business-english-skills-introducing-yourself-in-business-settings,Intermediate Level,"['Language Learning', 'Learning English']"
Survey analysis to Gain Marketing Insights,https://coursera.org/learn/survey-analysis-marketing-insights,None,"['Business', 'Marketing']"
Construction Project Management,https://coursera.org/learn/construction-project-management,Beginner Level,"['Business', 'Business Strategy']"
Ignite Your Everyday Creativity,https://coursera.org/learn/ignite-creativity,None,"['Personal Development', 'Personal Development']"
Logic for Economists,https://coursera.org/learn/logic-for-economists,Advanced Level,"['Math and Logic', 'Math and Logic']"
"Introduction to the Nonprofit Sector, Nonprofit Organizations, Nonprofit Leadership and Governance",https://coursera.org/learn/nonprofit-organizations,None,"['Business', 'Leadership and Management']"
Negocios Internacionales I,https://coursera.org/learn/negocios-internacionales,None,"['Business', 'Business Strategy']"
Физика в опытах. Часть 3. Колебания и молекулярная физика,https://coursera.org/learn/molekulyarnaya-fizika,None,"['Physical Science and Engineering', 'Physics and Astronomy']"
Mathematical Biostatistics Boot Camp 1,https://coursera.org/learn/biostatistics,None,"['Math and Logic', 'Math and Logic']"
Introduction to Research for Essay Writing,https://coursera.org/learn/introduction-to-research-for-essay-writing,None,"['Arts and Humanities', 'Music and Art']"
Intelligence Tools for the Digital Age,https://coursera.org/learn/intelligence-tools-digital-age,Beginner Level,"['Business', 'Leadership and Management']"
Tinkering Fundamentals: Circuits,https://coursera.org/learn/tinkering-circuits,Beginner Level,"['Personal Development', 'Personal Development']"
Marketing Internacional en Asia,https://coursera.org/learn/marketing-internacional-asia,Beginner Level,"['Business', 'Marketing']"
Foundations of Public Health Practice: Behaviour & Behaviour Change,https://coursera.org/learn/behaviour-change-in-public-health,Advanced Level,"['Health', 'Public Health']"
"Designing, Running, and Analyzing Experiments",https://coursera.org/learn/designexperiments,Intermediate Level,"['Computer Science', 'Design and Product']"
Контекстная реклама. Google AdWords,https://coursera.org/learn/kontextnaya-reklama-google-adwords,Intermediate Level,"['Business', 'Marketing']"
Valuation for Startups Using Multiple Approach,https://coursera.org/learn/valuation-multiples,Beginner Level,"['Business', 'Finance']"
Gestion et Politique de l'eau,https://coursera.org/learn/gestion-eau,None,"['Social Sciences', 'Law']"
"Бизнес-процессы, организационное проектирование, механизмы и системы управления",https://coursera.org/learn/systems-engineering-4,Intermediate Level,"['Business', 'Leadership and Management']"
Administração Financeira,https://coursera.org/learn/administracao-financeira,Beginner Level,"['Business', 'Finance']"
"Global Postharvest Loss Prevention: Fundamentals, Technologies, and Actors",https://coursera.org/learn/postharvest,Beginner Level,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
Blockchain Platforms,https://coursera.org/learn/blockchain-platforms,Intermediate Level,"['Computer Science', 'Software Development']"
Invitation to Mathematics     הזמנה למתמטיקה,https://coursera.org/learn/introduction-to-math,None,"['Math and Logic', 'Math and Logic']"
Человеческий фактор в разработке корпоративных систем,https://coursera.org/learn/chelovecheskiy-faktor-razrabotke-korporativnykh-sistem,None,"['Business', 'Leadership and Management']"
Креативная коммуникация: методы и инструменты,https://coursera.org/learn/kreativnaya-kommunikatsiya,Advanced Level,"['Arts and Humanities', 'Music and Art']"
Creating New BigQuery Datasets and Visualizing Insights,https://coursera.org/learn/gcp-creating-bigquery-datasets-visualizing-insights,Beginner Level,"['Information Technology', 'Data Management']"
Mindware: Critical Thinking for the Information Age,https://coursera.org/learn/mindware,Beginner Level,"['Health', 'Psychology']"
"Healthy Practices: Nutrition, Physical Activity, and Community and Family Participation",https://coursera.org/learn/healthy-practices-nutrition-physical-activity-community-family-participation,Beginner Level,"['Health', 'Nutrition']"
"Android App Components - Services, Local IPC, and Content Providers",https://coursera.org/learn/androidapps-2,Beginner Level,"['Computer Science', 'Mobile and Web Development']"
Big Data: visualización de datos,https://coursera.org/learn/big-data-visualizacion-datos,Intermediate Level,"['Data Science', 'Data Analysis']"
Strategic Career Self-Management,https://coursera.org/learn/strategic-career-self-management,None,"['Personal Development', 'Personal Development']"
Web Connectivity and Security in Embedded Systems,https://coursera.org/learn/iot-connectivity-security,Intermediate Level,"['Computer Science', 'Computer Security and Networks']"
Introduction to Spreadsheets and Models,https://coursera.org/learn/wharton-introduction-spreadsheets-models,None,"['Business', 'Business Essentials']"
Powerful Tools for Teaching and Learning: Web 2.0 Tools,https://coursera.org/learn/teaching-learning-tools,Beginner Level,"['Social Sciences', 'Education']"
Social Media Data Analytics,https://coursera.org/learn/social-media-data-analytics,Intermediate Level,"['Data Science', 'Data Analysis']"
Advanced Portfolio Construction and Analysis with Python,https://coursera.org/learn/advanced-portfolio-construction-python,Intermediate Level,"['Business', 'Finance']"
Marketing Analytics,https://coursera.org/learn/uva-darden-market-analytics,Beginner Level,"['Business', 'Marketing']"
Creativity Toolkit I: Changing Perspectives,https://coursera.org/learn/creativity-toolkit-1,None,"['Business', 'Entrepreneurship']"
The Importance and Power of Music in our Society,https://coursera.org/learn/importance-power-music-our-society,Beginner Level,"['Arts and Humanities', 'Music and Art']"
International Security Management,https://coursera.org/learn/international-security-management,Beginner Level,"['Social Sciences', 'Governance and Society']"
International Law In Action: Investigating and Prosecuting International Crimes,https://coursera.org/learn/international-law-in-action-2,None,"['Social Sciences', 'Law']"
Decision-Making and Scenarios,https://coursera.org/learn/wharton-decision-making-scenarios,None,"['Business', 'Business Essentials']"
Fundamentals of Visualization with Tableau,https://coursera.org/learn/data-visualization-tableau,Beginner Level,"['Data Science', 'Data Analysis']"
Data Mining Project,https://coursera.org/learn/data-mining-project,None,"['Data Science', 'Data Analysis']"
Diode - pn Junction and Metal Semiconductor Contact,https://coursera.org/learn/diode-pn-junction-metal-semiconductor-contact,Advanced Level,"['Physical Science and Engineering', 'Electrical Engineering']"
Managerial Economics and Business Analysis Capstone,https://coursera.org/learn/managerial-economics-capstone,Beginner Level,"['Business', 'Business Essentials']"
A Life of Happiness and Fulfillment,https://coursera.org/learn/happiness,None,"['Health', 'Psychology']"
Machine Learning with Python,https://coursera.org/learn/machine-learning-with-python,Intermediate Level,"['Data Science', 'Machine Learning']"
"The Music of the Rolling Stones, 1962-1974",https://coursera.org/learn/rolling-stones,None,"['Arts and Humanities', 'Music and Art']"
"Innovation Through Design: Think, Make, Break, Repeat",https://coursera.org/learn/innovation-through-design,Beginner Level,"['Business', 'Entrepreneurship']"
Improving Communication Skills,https://coursera.org/learn/wharton-communication-skills,Beginner Level,"['Personal Development', 'Personal Development']"
Creatividad computacional,https://coursera.org/learn/creatividad-computacional,Intermediate Level,"['Computer Science', 'Algorithms']"
Communicating Data Science Results,https://coursera.org/learn/data-results,None,"['Data Science', 'Data Analysis']"
Design Thinking,https://coursera.org/learn/design-thinking-innovation,Beginner Level,"['Business', 'Entrepreneurship']"
Modern American Poetry,https://coursera.org/learn/modern-american-poetry,Beginner Level,"['Arts and Humanities', 'Music and Art']"
More Chinese for Beginners,https://coursera.org/learn/more-chinese-for-beginners,None,"['Language Learning', 'Other Languages']"
Aspectos básicos de la planificación y la gestión de proyectos,https://coursera.org/learn/uva-darden-project-management-es,Beginner Level,"['Business', 'Business Essentials']"
The Modern and the Postmodern (Part 2),https://coursera.org/learn/modern-postmodern-2,None,"['Arts and Humanities', 'History']"
Marketing Gerencial,https://coursera.org/learn/marketing-gerencial,Intermediate Level,"['Business', 'Finance']"
Основы микроэкономики (Microeconomics Principles),https://coursera.org/learn/mikroekonomika,Beginner Level,"['Social Sciences', 'Economics']"
Leading transformations: Manage change,https://coursera.org/learn/change-management,Beginner Level,"['Business', 'Leadership and Management']"
Cómo autoconstruir tu vivienda. Segunda etapa,https://coursera.org/learn/como-autoconstruir-tu-vivienda-segunda-etapa,Beginner Level,"['Physical Science and Engineering', 'Electrical Engineering']"
Растровая графика. Adobe Photoshop CC,https://coursera.org/learn/rastrovaya-grafika-adobe-photoshop,Beginner Level,"['Computer Science', 'Design and Product']"
Entrepreneurship Strategy: From Ideation to Exit,https://coursera.org/learn/entrepreneurship-strategy,Beginner Level,"['Business', 'Leadership and Management']"
Conflict Resolution Skills,https://coursera.org/learn/conflict-resolution-skills,None,"['Business', 'Business Essentials']"
Serious Gaming,https://coursera.org/learn/serious-gaming,None,"['Social Sciences', 'Education']"
Введение в системное проектирование,https://coursera.org/learn/systems-engineering-2,Beginner Level,"['Physical Science and Engineering', 'Research Methods']"
Advanced Deployment Scenarios with TensorFlow,https://coursera.org/learn/advanced-deployment-scenarios-tensorflow,Intermediate Level,"['Computer Science', 'Software Development']"
The Science of Success: What Researchers Know that You Should Know,https://coursera.org/learn/success,Beginner Level,"['Business', 'Leadership and Management']"
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),https://coursera.org/learn/build-a-computer,None,"['Computer Science', 'Algorithms']"
Toledo: Deciphering Secrets of Medieval Spain,https://coursera.org/learn/toledo-deciphering-secrets-medieval-spain,Intermediate Level,"['Arts and Humanities', 'History']"
Introduction to Data Analytics for Business,https://coursera.org/learn/data-analytics-business,None,"['Data Science', 'Data Analysis']"
Getting Your Film off the Ground,https://coursera.org/learn/film-off-ground,Beginner Level,"['Arts and Humanities', 'Music and Art']"
Hot Topics in Criminal Justice,https://coursera.org/learn/hot-topics-criminal-justice,Beginner Level,"['Social Sciences', 'Law']"
"Learning, Knowledge, and Human Development ",https://coursera.org/learn/learning-knowledge-human-development,Beginner Level,"['Social Sciences', 'Education']"
Front-End Web UI Frameworks and Tools: Bootstrap 4,https://coursera.org/learn/bootstrap-4,Intermediate Level,"['Computer Science', 'Mobile and Web Development']"
Introducción a la producción musical,https://coursera.org/learn/intro-produccion-musical,Intermediate Level,"['Arts and Humanities', 'Music and Art']"
Elastic Cloud Infrastructure: Containers and Services dalam bahasa Indonesia,https://coursera.org/learn/gcp-infrastructure-containers-services-id,Intermediate Level,"['Information Technology', 'Cloud Computing']"
Financial Analysis for Startups,https://coursera.org/learn/financial-ratios,Beginner Level,"['Business', 'Finance']"
Arts and Heritage Management,https://coursera.org/learn/arts-heritage,None,"['Business', 'Marketing']"
Fundamentals of Quantitative Modeling,https://coursera.org/learn/wharton-quantitative-modeling,None,"['Business', 'Business Essentials']"
Using clinical health data for better healthcare,https://coursera.org/learn/healthcare-data,Beginner Level,"['Health', 'Health Informatics']"
Enterprise Architecture,https://coursera.org/learn/enterprise-architecture,Beginner Level,"['Business', 'Business Essentials']"
Teach English Now! Capstone Project 2,https://coursera.org/learn/teaching-english-capstone-2,Beginner Level,"['Language Learning', 'Learning English']"
"Introduction to CAD, CAM, and Practical CNC Machining",https://coursera.org/learn/introduction-cad-cam-practical-cnc-machining,Advanced Level,"['Physical Science and Engineering', 'Mechanical Engineering']"
Психология коммуникации,https://coursera.org/learn/psikhologiya-kommunikacii,Beginner Level,"['Social Sciences', 'Governance and Society']"
Inferential and Predictive Statistics for Business,https://coursera.org/learn/business-statistics,None,"['Business', 'Business Essentials']"
Summary Statistics in Public Health,https://coursera.org/learn/summary-statistics,Beginner Level,"['Health', 'Public Health']"
Unordered Data Structures,https://coursera.org/learn/cs-fundamentals-3,None,"['Computer Science', 'Software Development']"
What is Social?,https://coursera.org/learn/what-is-social,None,"['Business', 'Marketing']"
"Итоговый проект специализации ""Финансовые инструменты для частного инвестора""",https://coursera.org/learn/financial-instruments-capstone,None,"['Business', 'Finance']"
Networking in GCP: Hybrid Connectivity and Network Management,https://coursera.org/learn/networking-gcp-hybrid-connectivity-network-management,Intermediate Level,"['Information Technology', 'Networking']"
"Managerial Accounting: Cost Behaviors, Systems, and Analysis",https://coursera.org/learn/accounting-for-managers,None,"['Business', 'Finance']"
Introduction to English Common Law,https://coursera.org/learn/intro-common-law,Beginner Level,"['Social Sciences', 'Law']"
Professional Responsibility and Ethics for Accountants,https://coursera.org/learn/ethics,None,"['Business', 'Leadership and Management']"
Sustainable Business Enterprises,https://coursera.org/learn/sustainable-business-enterprises,None,"['Business', 'Business Strategy']"
Composição: Escrevendo a letra,https://coursera.org/learn/composicao-escrevendo-letra,Beginner Level,"['Arts and Humanities', 'Music and Art']"
Gestión estratégica de Escuelas en Contextos Rurales,https://coursera.org/learn/gestion-estrategica-escuelas-rurales,Beginner Level,"['Social Sciences', 'Education']"
Teaching Impacts of Technology: Workplace of the Future,https://coursera.org/learn/teach-impacts-technology-workplace-future,Beginner Level,"['Social Sciences', 'Education']"
Expanded FPGA Training with NIOS II,https://coursera.org/learn/fpga-training-nios-ii,Intermediate Level,"['Physical Science and Engineering', 'Electrical Engineering']"
"Anatomy: Cardiovascular, Respiratory and Urinary Systems",https://coursera.org/learn/anatomy403-2x,Beginner Level,"['Health', 'Basic Science']"
Water Supply and Sanitation Policy in Developing Countries Part 2: Developing Effective Interventions,https://coursera.org/learn/water-part-2,Intermediate Level,"['Social Sciences', 'Governance and Society']"
القيادة الدولية والسلوك التنظيمي,https://coursera.org/learn/organizational-behavior-ar,None,"['Business', 'Leadership and Management']"
"Trabaja inteligentemente, no más duro: Gestión del tiempo para la productividad personal y profesional ",https://coursera.org/learn/trabaja-inteligentemente,None,"['Business', 'Leadership and Management']"
Application Systems Programming,https://coursera.org/learn/application-systems-programming,Intermediate Level,"['Computer Science', 'Software Development']"
Strategies for winning. Meteorology in a round the world regatta,https://coursera.org/learn/meteorology,None,"['Physical Science and Engineering', 'Physics and Astronomy']"
Estadística y probabilidad,https://coursera.org/learn/estadistica-probabilidad,Beginner Level,"['Math and Logic', 'Math and Logic']"
Универсальные практики влияния,https://coursera.org/learn/praktiki-vliyaniya,Intermediate Level,"['Business', 'Leadership and Management']"
Advanced Business Analytics Capstone,https://coursera.org/learn/data-analytics-business-capstone,None,"['Data Science', 'Data Analysis']"
Camera Control,https://coursera.org/learn/camera-control,None,"['Arts and Humanities', 'Music and Art']"
Introdução ao Controle Moderno,https://coursera.org/learn/controle-moderno,Intermediate Level,"['Physical Science and Engineering', 'Electrical Engineering']"
Building a Data Science Team,https://coursera.org/learn/build-data-science-team,None,"['Data Science', 'Data Analysis']"
Software Design as an Abstraction,https://coursera.org/learn/software-design-abstraction,Intermediate Level,"['Computer Science', 'Software Development']"
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Social/Peer Perspective)",https://coursera.org/learn/hi-five-social-peer,Beginner Level,"['Health', 'Health Informatics']"
Design Thinking for the Greater Good: Innovation in the Social Sector,https://coursera.org/learn/uva-darden-design-thinking-social-sector,Beginner Level,"['Social Sciences', 'Education']"
Multiple Regression Analysis in Public Health,https://coursera.org/learn/multiple-regression-analysis-public-health,Beginner Level,"['Health', 'Health Informatics']"
Become a CBRS Certified Professional Installer by Google,https://coursera.org/learn/google-cbrs-cpi-training,None,"['Information Technology', 'Networking']"
Business intelligence and data warehousing,https://coursera.org/learn/business-intelligence-data-warehousing,Intermediate Level,"['Data Science', 'Data Analysis']"
Supply Chain Finance Market and Fintech Ecosystem,https://coursera.org/learn/supply-chain-finance-market-fintech-ecosystem,Intermediate Level,"['Business', 'Finance']"
Studying at Japanese Universities,https://coursera.org/learn/study-in-japan,Beginner Level,"['Personal Development', 'Personal Development']"
Blended Learning: Personalizing Education for Students,https://coursera.org/learn/blending-learning-personalization,None,"['Social Sciences', 'Education']"
"The Effect of Fires on People, Property and the Environment",https://coursera.org/learn/fire-effect,None,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
Applied Data Science Capstone,https://coursera.org/learn/applied-data-science-capstone,Intermediate Level,"['Data Science', 'Data Analysis']"
Originalité et modernité du mutualisme,https://coursera.org/learn/originalite-et-modernite-du-mutualisme,Beginner Level,"['Business', 'Business Essentials']"
The Power of Microeconomics: Economic Principles in the Real World,https://coursera.org/learn/principles-of-microeconomics,None,"['Social Sciences', 'Economics']"
